time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2024-11-10 17:33:58.77	WT901BLE68(96416FE28A17)	-0.087	-0.576	0.758	6.714	5.737	2.747	-39.39	-1.34	137.96	30.184	1.078	-48.706	0.33524	-0.10980	-0.32660	0.87680	26.3	13111	40
2024-11-10 17:33:58.205	WT901BLE68(96416FE28A17)	0.039	-0.777	1.100	-14.954	-0.488	-2.441	-39.61	0.81	137.09	30.184	1.078	-48.706	0.34732	-0.11020	-0.32224	0.87366	26.3	13111	40
2024-11-10 17:33:58.286	WT901BLE68(96416FE28A17)	0.096	-0.634	0.756	15.015	-41.687	-26.428	-38.86	-4.39	137.51	30.184	1.078	-48.706	0.34732	-0.11020	-0.32224	0.87366	26.3	13111	40
2024-11-10 17:33:58.408	WT901BLE68(96416FE28A17)	0.185	-0.533	0.604	12.268	-14.221	-27.039	-36.13	-7.97	136.86	25.186	0.784	-46.550	0.34732	-0.11020	-0.32224	0.87366	26.3	13111	40
2024-11-10 17:33:58.467	WT901BLE68(96416FE28A17)	0.263	-0.538	0.922	15.747	-9.705	-44.617	-34.19	-10.49	133.97	25.186	0.784	-46.550	0.34732	-0.11020	-0.32224	0.87366	26.3	13111	40
2024-11-10 17:33:58.585	WT901BLE68(96416FE28A17)	-0.118	-0.465	0.434	98.999	61.951	-183.716	-24.77	-13.86	125.50	25.186	0.784	-46.550	0.56583	0.00873	-0.13852	0.81271	26.3	13111	40
2024-11-10 17:33:58.677	WT901BLE68(96416FE28A17)	-0.425	-0.036	1.078	171.753	161.804	-204.407	-6.81	-5.59	105.27	25.186	0.784	-46.550	0.56583	0.00873	-0.13852	0.81271	26.3	13111	40
2024-11-10 17:33:58.795	WT901BLE68(96416FE28A17)	-0.206	0.251	1.378	5.859	19.775	-92.163	1.06	5.34	90.02	37.142	-2.842	-44.688	0.56583	0.00873	-0.13852	0.81271	26.3	13111	40
2024-11-10 17:33:58.887	WT901BLE68(96416FE28A17)	-0.095	0.056	1.140	-33.691	-19.104	-39.368	-1.64	4.30	80.79	37.142	-2.842	-44.688	0.56583	0.00873	-0.13852	0.81271	26.3	13111	40
2024-11-10 17:33:59.14	WT901BLE68(96416FE28A17)	0.233	-0.102	1.068	-30.396	-19.348	17.578	-4.72	1.76	80.83	37.142	-2.842	-44.688	0.75156	-0.03519	-0.02948	0.65799	26.3	13111	40
2024-11-10 17:33:59.129	WT901BLE68(96416FE28A17)	-0.181	-0.217	1.331	-26.001	-32.043	-36.377	-5.47	-0.40	82.05	37.142	-2.842	-44.688	0.75156	-0.03519	-0.02948	0.65799	26.3	13111	40
2024-11-10 17:33:59.217	WT901BLE68(96416FE28A17)	0.269	-0.150	1.018	-169.678	-110.229	-25.330	-18.16	-0.86	85.36	26.852	18.816	-37.828	0.75156	-0.03519	-0.02948	0.65799	26.3	13111	40
2024-11-10 17:33:59.276	WT901BLE68(96416FE28A17)	0.234	-0.444	0.634	-54.932	-45.471	-7.874	-28.58	-10.37	87.04	26.852	18.816	-37.828	0.75156	-0.03519	-0.02948	0.65799	26.3	13111	40
2024-11-10 17:33:59.397	WT901BLE68(96416FE28A17)	0.427	-0.386	0.743	26.428	12.634	-62.317	-28.96	-12.06	84.25	26.852	18.816	-37.828	0.75156	-0.03519	-0.02948	0.65799	26.3	13111	40
2024-11-10 17:33:59.496	WT901BLE68(96416FE28A17)	0.556	-0.606	1.058	-7.324	-54.138	13.550	-26.97	-16.73	81.68	26.852	18.816	-37.828	0.74887	-0.08112	-0.25983	0.60416	26.3	13111	40
2024-11-10 17:33:59.608	WT901BLE68(96416FE28A17)	0.026	-0.941	1.566	152.649	-141.418	-149.597	-23.10	-26.19	80.59	-2.646	7.448	-43.610	0.74887	-0.08112	-0.25983	0.60416	26.3	13111	40
2024-11-10 17:33:59.696	WT901BLE68(96416FE28A17)	0.523	0.891	-3.589	-89.661	134.583	1.526	-0.94	-38.67	71.16	-2.646	7.448	-43.610	0.74887	-0.08112	-0.25983	0.60416	26.3	13111	40
2024-11-10 17:33:59.816	WT901BLE68(96416FE28A17)	-0.658	-3.356	7.534	-145.447	-290.466	-212.952	-42.93	-27.13	81.99	-2.646	7.448	-43.610	0.71411	0.23599	-0.50089	0.42819	26.3	13111	40
2024-11-10 17:33:59.877	WT901BLE68(96416FE28A17)	-2.323	-0.262	-1.389	151.489	-557.068	-394.653	-4.82	-72.86	63.59	-2.646	7.448	-43.610	0.71411	0.23599	-0.50089	0.42819	26.3	13111	40
2024-11-10 17:33:59.996	WT901BLE68(96416FE28A17)	0.292	-2.679	0.205	-85.815	-690.186	791.077	-132.00	-64.34	173.32	-2.646	7.448	-43.610	0.71411	0.23599	-0.50089	0.42819	26.3	13111	40
2024-11-10 17:34:0.99	WT901BLE68(96416FE28A17)	-1.095	-1.931	-2.353	-70.068	171.326	-397.217	-140.99	-44.98	-156.97	-20.090	23.324	9.702	0.71411	0.23599	-0.50089	0.42819	26.3	13111	40
2024-11-10 17:34:0.208	WT901BLE68(96416FE28A17)	-2.404	-0.472	-3.252	943.604	949.341	-332.886	37.22	-40.56	73.94	-20.090	23.324	9.702	0.71411	0.23599	-0.50089	0.42819	26.3	13111	40
2024-11-10 17:34:0.299	WT901BLE68(96416FE28A17)	4.180	1.784	-1.217	-558.228	-113.281	377.930	50.17	-14.77	80.85	-20.090	23.324	9.702	0.64798	0.37988	0.13519	0.64609	26.3	13111	40
2024-11-10 17:34:0.437	WT901BLE68(96416FE28A17)	0.598	-5.978	-0.639	-977.478	-539.429	230.713	-109.53	-49.34	160.06	-17.150	20.384	-14.700	0.64798	0.37988	0.13519	0.64609	26.3	13111	40
2024-11-10 17:34:0.507	WT901BLE68(96416FE28A17)	-0.230	-1.848	1.326	363.831	457.886	-450.500	-79.54	-76.18	137.46	-17.150	20.384	-14.700	0.64798	0.37988	0.13519	0.64609	26.3	13111	40
2024-11-10 17:34:0.626	WT901BLE68(96416FE28A17)	0.438	2.289	-3.514	81.177	376.892	70.190	48.03	-36.86	91.52	-17.150	20.384	-14.700	0.57343	0.16711	-0.37976	0.70636	26.3	13111	40
2024-11-10 17:34:0.700	WT901BLE68(96416FE28A17)	-2.493	-3.202	-1.658	-1443.481	-1279.114	152.832	-39.41	-46.88	118.76	-17.150	20.384	-14.700	0.57343	0.16711	-0.37976	0.70636	26.3	13111	40
2024-11-10 17:34:0.806	WT901BLE68(96416FE28A17)	-0.149	0.725	-4.725	-182.495	-45.654	-502.136	-150.53	-54.42	-146.14	-17.150	20.384	-14.700	0.57343	0.16711	-0.37976	0.70636	26.3	13111	40
2024-11-10 17:34:0.900	WT901BLE68(96416FE28A17)	-1.789	0.433	-2.264	313.293	1091.797	-315.979	112.14	-77.61	-36.77	-30.184	-7.056	-24.696	0.57343	0.16711	-0.37976	0.70636	26.3	13111	40
2024-11-10 17:34:1.48	WT901BLE68(96416FE28A17)	-0.208	-1.083	4.876	-522.034	-894.165	-7.568	5.67	-23.62	71.69	-30.184	-7.056	-24.696	0.57343	0.16711	-0.37976	0.70636	26.3	13111	40
2024-11-10 17:34:1.106	WT901BLE68(96416FE28A17)	-0.603	0.954	-3.325	252.197	-412.720	-43.945	158.13	-50.16	-99.39	-30.184	-7.056	-24.696	0.41028	0.52579	-0.73242	0.13657	26.3	13111	40
