time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-1-4 10:35:5.533	WT901BLE68(96416FE28A17)	-0.978	0.109	0.104	2.075	-13.489	-5.554	9.37	77.15	-142.91	75.362	-17.444	-36.946	-0.18283	-0.61206	-0.12222	0.75955	24.8	13111	30
2025-1-4 10:35:5.655	WT901BLE68(96416FE28A17)	-0.968	0.075	0.146	5.371	-20.264	17.273	13.43	75.20	-137.44	75.362	-17.444	-36.946	-0.18283	-0.61206	-0.12222	0.75955	24.8	13111	30
2025-1-4 10:35:5.744	WT901BLE68(96416FE28A17)	-1.005	0.075	0.232	-5.310	-13.367	-0.122	15.55	73.80	-133.42	75.362	-17.444	-36.946	-0.24466	-0.58521	-0.14047	0.76016	24.8	13111	30
2025-1-4 10:35:5.864	WT901BLE68(96416FE28A17)	-0.961	0.096	0.248	-11.414	-7.813	4.028	14.48	73.20	-132.17	75.362	-17.444	-36.946	-0.24466	-0.58521	-0.14047	0.76016	24.8	13111	30
2025-1-4 10:35:5.924	WT901BLE68(96416FE28A17)	-0.947	0.079	0.237	-10.315	-8.118	4.150	14.12	72.18	-129.98	73.108	-18.718	-40.180	-0.24466	-0.58521	-0.14047	0.76016	24.8	13111	30
2025-1-4 10:35:6.46	WT901BLE68(96416FE28A17)	-0.978	0.083	0.283	-7.690	-5.615	2.502	13.84	71.30	-128.06	73.108	-18.718	-40.180	-0.24466	-0.58521	-0.14047	0.76016	24.8	13111	30
2025-1-4 10:35:6.133	WT901BLE68(96416FE28A17)	-1.061	0.096	0.288	-7.751	-4.028	-0.122	13.30	71.07	-126.83	73.108	-18.718	-40.180	-0.30600	-0.55676	-0.17755	0.75146	24.8	13111	30
2025-1-4 10:35:6.256	WT901BLE68(96416FE28A17)	-0.953	0.074	0.358	-11.292	29.724	1.404	14.27	71.89	-123.90	73.108	-18.718	-40.180	-0.30600	-0.55676	-0.17755	0.75146	24.8	13111	30
2025-1-4 10:35:6.344	WT901BLE68(96416FE28A17)	-0.934	0.086	0.289	-6.348	-0.183	-4.700	13.62	73.02	-123.10	73.598	-17.542	-39.396	-0.30600	-0.55676	-0.17755	0.75146	24.8	13111	30
2025-1-4 10:35:6.466	WT901BLE68(96416FE28A17)	-0.993	0.086	0.206	-14.771	10.864	-0.366	12.51	73.54	-122.23	73.598	-17.542	-39.396	-0.30600	-0.55676	-0.17755	0.75146	24.8	13111	30
2025-1-4 10:35:6.527	WT901BLE68(96416FE28A17)	-1.091	0.137	0.341	-20.386	11.658	-5.493	11.65	75.01	-120.49	73.598	-17.542	-39.396	-0.34683	-0.55945	-0.24081	0.71317	24.8	13111	30
2025-1-4 10:35:6.645	WT901BLE68(96416FE28A17)	-0.915	0.294	0.382	-59.509	-48.157	3.174	6.55	72.98	-120.32	73.598	-17.542	-39.396	-0.34683	-0.55945	-0.24081	0.71317	24.8	13111	30
2025-1-4 10:35:6.734	WT901BLE68(96416FE28A17)	-0.931	0.185	0.305	-66.467	-58.655	32.410	7.87	68.00	-110.02	71.050	-11.956	-41.258	-0.34683	-0.55945	-0.24081	0.71317	24.8	13111	30
2025-1-4 10:35:6.863	WT901BLE68(96416FE28A17)	-0.499	-0.123	0.435	-61.157	-138.428	13.000	3.78	58.85	-105.41	71.050	-11.956	-41.258	-0.34683	-0.55945	-0.24081	0.71317	24.8	13111	30
2025-1-4 10:35:6.946	WT901BLE68(96416FE28A17)	-0.207	-0.306	0.625	-44.006	-136.536	-31.982	-1.98	46.58	-108.12	71.050	-11.956	-41.258	-0.54004	-0.26874	-0.22974	0.76370	24.8	13111	30
2025-1-4 10:35:7.66	WT901BLE68(96416FE28A17)	-0.231	-0.994	1.397	17.151	-161.194	-117.065	-9.50	29.01	-120.36	71.050	-11.956	-41.258	-0.54004	-0.26874	-0.22974	0.76370	24.8	13111	30
2025-1-4 10:35:7.159	WT901BLE68(96416FE28A17)	-0.154	-0.752	1.024	89.844	-109.192	-207.214	-9.07	16.12	-140.61	28.322	-7.938	-55.762	-0.54004	-0.26874	-0.22974	0.76370	24.8	13111	30
2025-1-4 10:35:7.277	WT901BLE68(96416FE28A17)	-0.483	-0.483	0.720	22.949	-124.329	-231.812	-7.84	2.49	-164.92	28.322	-7.938	-55.762	-0.54004	-0.26874	-0.22974	0.76370	24.8	13111	30
2025-1-4 10:35:7.336	WT901BLE68(96416FE28A17)	0.031	-0.599	1.129	-52.917	-108.337	-207.520	-9.52	-10.50	173.66	28.322	-7.938	-55.762	0.15195	0.12555	-0.11340	0.97375	24.8	13111	30
2025-1-4 10:35:7.456	WT901BLE68(96416FE28A17)	-0.090	-0.247	0.759	-46.814	18.005	-212.708	-10.87	-17.89	155.12	28.322	-7.938	-55.762	0.15195	0.12555	-0.11340	0.97375	24.8	13111	30
2025-1-4 10:35:7.575	WT901BLE68(96416FE28A17)	-0.829	-0.153	0.185	-28.992	258.301	-252.747	-10.03	-8.83	130.60	20.972	-37.828	-53.214	0.15195	0.12555	-0.11340	0.97375	24.8	13111	30
2025-1-4 10:35:7.666	WT901BLE68(96416FE28A17)	1.729	-0.716	-1.088	290.100	724.304	-248.108	-9.33	40.19	96.65	20.972	-37.828	-53.214	0.15195	0.12555	-0.11340	0.97375	24.8	13111	30
2025-1-4 10:35:7.785	WT901BLE68(96416FE28A17)	-1.184	-3.651	-2.889	483.521	520.020	-450.745	-101.34	62.41	-42.85	20.972	-37.828	-53.214	0.69583	-0.53546	0.47635	-0.04523	24.8	13111	30
2025-1-4 10:35:7.877	WT901BLE68(96416FE28A17)	-0.712	-7.706	-1.044	-697.571	-620.850	-388.428	-97.17	6.67	-21.36	20.972	-37.828	-53.214	0.69583	-0.53546	0.47635	-0.04523	24.8	13111	30
2025-1-4 10:35:7.964	WT901BLE68(96416FE28A17)	0.717	-9.475	-2.520	-1080.627	-1423.035	674.072	147.13	54.70	-0.32	62.132	-33.908	-23.618	0.69583	-0.53546	0.47635	-0.04523	24.8	13111	30
